"","2022","2023","2024"
"January"," 125,581 "," 175,307 "," 169,072 "
"February"," 171,911 "," 185,236 "," 195,692 "
"March"," 219,003 "," 212,530 "," 215,794 "
"April"," 243,767 "," 231,131 "," 210,409 "
"May"," 263,887 "," 238,422 "," 233,855 "
"June"," 295,169 "," 230,903 "," 227,920 "
"July"," 316,527 "," 251,282 ","234,933"
"August"," 291,983 "," 282,884 ","223,458"
"September"," 263,641 "," 251,654 ",""
"October"," 254,243 "," 232,854 ",""
"November"," 224,446 "," 205,554 ",""
"December"," 228,176 "," 218,054 ",""
